input,output
A股; 人工智能板块; 股东增长率 0-30,条件选股
A股; 机器人板块; 主力资金净流入 0-30,条件选股
A股; 机器人板块; 市盈率 0-30,条件选股
A股; 人工智能板块; 主力资金净流入 0-30,条件选股
A股; 白酒板块; 主力资金净流入 0-30,条件选股
A股; 新能源板块; 市盈率 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 军工板块; 股东增长率 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 新能源板块; 涨幅 0-30,条件选股
A股; 光伏板块; 股东增长率 0-30,条件选股
A股; 人工智能板块; 主力资金净流入 0-30,条件选股
A股; 白酒板块; 主力资金净流入 0-30,条件选股
A股; 机器人板块; 市盈率 0-30,条件选股
A股; 军工板块; 主力资金净流入 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 新能源板块; 涨幅 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 新能源板块; 成交量 0-30,条件选股
A股; 人工智能板块; 成交量 0-30,条件选股
A股; 军工板块; 主力资金净流入 0-30,条件选股
A股; 银行板块; 主力资金净流入 0-30,条件选股
A股; 半导体板块; 市净率 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 新能源板块; 成交量 0-30,条件选股
A股; 银行板块; 主力资金净流入 0-30,条件选股
A股; 白酒板块; 股东增长率 0-30,条件选股
A股; 机器人板块; 股东增长率 0-30,条件选股
A股; 机器人板块; 成交量 0-30,条件选股
A股; 白酒板块; 股东增长率 0-30,条件选股
A股; 光伏板块; 市净率 0-30,条件选股
A股; 新能源板块; 成交量 0-30,条件选股
A股; 新能源板块; 市净率 0-30,条件选股
A股; 人工智能板块; 主力资金净流入 0-30,条件选股
A股; 银行板块; 主力资金净流入 0-30,条件选股
A股; 半导体板块; 成交量 0-30,条件选股
A股; 军工板块; 主力资金净流入 0-30,条件选股
A股; 军工板块; 主力资金净流入 0-30,条件选股
A股; 新能源板块; 涨幅 0-30,条件选股
A股; 人工智能板块; 市净率 0-30,条件选股
A股; 人工智能板块; 股东增长率 0-30,条件选股
A股; 军工板块; 股东增长率 0-30,条件选股
A股; 光伏板块; 涨幅 0-30,条件选股
A股; 白酒板块; 涨幅 0-30,条件选股
A股; 半导体板块; 涨幅 0-30,条件选股
A股; 机器人板块; 股东增长率 0-30,条件选股
A股; 军工板块; 涨幅 0-30,条件选股
A股; 新能源板块; 主力资金净流入 0-30,条件选股
A股; 军工板块; 市净率 0-30,条件选股
